season,sample_num,flush,city,state,building,fixture,chlorine_type,source_water,total_chlorine,free_chlorine,hardness,alkalinity,pH,temp
summer,1,first_flush,Austin,TX,house,bathroom_sink,combined,surface,0.5,0,120,120,7.8,26.7
summer,1,mains,Austin,TX,house,bathroom_sink,combined,surface,2,0,120,80,8.4,30
summer,2,first_flush,Clifton,VA,house,bathroom_sink,combined,surface,0,0,250,240,7.8,20
summer,2,mains,Clifton,VA,house,bathroom_sink,combined,surface,1,0,250,240,7.8,23.7
summer,3,first_flush,Reston,VA,house,bar_sink,combined,surface,0,0,250,180,7.2,16.7
summer,3,mains,Reston,VA,house,bar_sink,combined,surface,2,0,250,80,7.8,22.7
summer,4,first_flush,Centennial,CO,house,shower,combined,blend,0,0,250,240,7.8,22
summer,4,mains,Centennial,CO,house,shower,combined,blend,0.5,0,120,80,7.8,20
summer,5,first_flush,Chicago,IL,condominium,kitchen_sink,free,surface,0.5,0,250,180,7.8,22.2
summer,5,mains,Chicago,IL,condominium,kitchen_sink,free,surface,1,0,250,120,7.8,21
summer,6,first_flush,New York,NY,apartment,bathroom_sink,free,surface,0,0,50,80,6.8,23.3
summer,6,mains,New York,NY,apartment,bathroom_sink,free,surface,0,0,25,40,6.8,23
summer,7,first_flush,Pesotum,IL,house,shower,free,ground,0,0,50,180,7.8,17.9
summer,7,mains,Pesotum,IL,house,shower,free,ground,0,0,50,180,7.8,19
summer,8,first_flush,Astoria,NY,apartment,kitchen_sink,free,surface,0,0,50,80,6.8,22.5
summer,8,mains,Astoria,NY,apartment,kitchen_sink,free,surface,0.5,0,50,40,6.8,20.8
summer,9,first_flush,Bloomindale,NJ,house,bathroom_sink,free,surface,0,0,50,180,7.2,23.3
summer,9,mains,Bloomindale,NJ,house,bathroom_sink,free,surface,0,0,50,120,6.8,21.9
summer,10,first_flush,Bloomington,IN,house,kitchen_sink,combined,surface,1,0,250,120,7.2,23.5
summer,10,mains,Bloomington,IN,house,kitchen_sink,combined,surface,4,0,120,80,7.2,24.2
summer,11,first_flush,Dallas,TX,apartment,kitchen_sink,free,ground,0,0,425,120,7.8,19
summer,11,mains,Dallas,TX,apartment,kitchen_sink,free,ground,4,0,425,120,7.8,18
summer,12,first_flush,Newburgh,NY,house,bathroom_sink,free,surface,0,0,50,0,6.8,23.7
summer,12,mains,Newburgh,NY,house,bathroom_sink,free,surface,0.5,0,50,80,6.8,23.4
summer,13,first_flush,Livingston,MT,house,kitchen_sink,free,ground,0,0,50,240,8.4,19
summer,13,mains,Livingston,MT,house,kitchen_sink,free,ground,0,0,50,240,7.8,15.5
summer,14,first_flush,Truckee,CA,house,kitchen_sink,free,ground,0,0,120,240,8.4,16.7
summer,14,mains,Truckee,CA,house,kitchen_sink,free,ground,0,0,50,120,7.2,14.5
summer,15,first_flush,West Palm Beach,FL,house,bathroom_sink,combined,ground,0,0,120,80,7.2,22.2
summer,15,mains,West Palm Beach,FL,house,bathroom_sink,combined,ground,0.5,0,120,80,7.2,24.5
summer,16,first_flush,Tustin,CA,house,bathroom_sink,combined,ground,0.5,0,120,120,7.8,24.5
summer,16,mains,Tustin,CA,house,bathroom_sink,combined,ground,2,0,120,180,7.8,26.7
summer,17,first_flush,St. Petersburg,FL,apartment,kitchen_sink,combined,blend,0,0,120,240,8.4,26.6
summer,17,mains,St. Petersburg,FL,apartment,kitchen_sink,combined,blend,4,0,250,180,7.8,27.6
summer,18,first_flush,El Paso,TX,house,bathroom_sink,free,ground,1,0,120,240,8.4,19.5
summer,18,mains,El Paso,TX,house,bathroom_sink,free,ground,2,0.5,120,80,7.2,26.7
